,predictions,name,GW,team,value,position,opponent_team
462,,Gareth Bale,4,Spurs,95,MID,13
463,,Henri Lansbury,4,Aston Villa,45,MID,11
464,,Ilkay Gündogan,4,Man City,54,MID,10
465,,Jack Cork,4,Burnley,50,MID,14
466,,Jack Grealish,4,Aston Villa,70,MID,11
467,,Jacob Ramsey,4,Aston Villa,45,MID,11
468,,James Garner,4,Man Utd,45,MID,17
469,,Jayson Molumby,4,Brighton,45,MID,7
470,,Jesse Lingard,4,Man Utd,59,MID,17
471,,Johann Berg Gudmundsson,4,Burnley,54,MID,14
472,,John McGinn,4,Aston Villa,55,MID,11
473,,Josh Benson,4,Burnley,45,MID,14
474,,Josh Brownhill,4,Burnley,50,MID,14
475,,José Ignacio Peleteiro Romallo,4,Aston Villa,59,MID,11
476,,Juan Mata,4,Man Utd,59,MID,17
477,,Kevin De Bruyne,4,Man City,117,MID,10
478,,Mace Goodridge,4,Burnley,45,MID,14
479,,Mahmoud Ahmed Ibrahim Hassan,4,Aston Villa,55,MID,11
480,,Marcus Rashford,4,Man Utd,95,MID,17
481,,Marvelous Nakamba,4,Aston Villa,45,MID,11
482,,Mason Greenwood,4,Man Utd,74,MID,17
483,,Mateusz Bogusz,4,Leeds,45,MID,12
484,,Meritan Shabani,4,Wolves,45,MID,8
485,,Nemanja Matic,4,Man Utd,50,MID,17
486,,Paul Pogba,4,Man Utd,79,MID,17
487,,Phil Foden,4,Man City,66,MID,10
488,,Raheem Sterling,4,Man City,115,MID,10
489,,Riyad Mahrez,4,Man City,85,MID,10
490,,Robbie Brady,4,Burnley,50,MID,14
491,,Rodrigo Hernandez,4,Man City,55,MID,10
492,,Scott McTominay,4,Man Utd,50,MID,17
493,,Tahith Chong,4,Man Utd,45,MID,17
494,,Thiago Alcántara do Nascimento,4,Liverpool,60,MID,2
495,,Tommy Doyle,4,Man City,45,MID,10
496,5.98,Jamie Vardy,4,Leicester,101,FWD,19
497,5.88,Dominic Calvert-Lewin,4,Everton,75,FWD,3
498,5.65,Timo Werner,4,Chelsea,94,FWD,6
499,5.48,Raúl Jiménez,4,Wolves,86,FWD,8
500,5.35,Richarlison de Andrade,4,Everton,80,FWD,3
501,5.23,Danny Ings,4,Southampton,85,FWD,18
502,4.86,Harry Kane,4,Spurs,105,FWD,13
503,4.79,Callum Wilson,4,Newcastle,64,FWD,4
504,4.71,Alexandre Lacazette,4,Arsenal,85,FWD,15
505,4.43,Patrick Bamford,4,Leeds,58,FWD,12
506,3.65,Aleksandar Mitrović,4,Fulham,60,FWD,20
507,3.57,Michail Antonio,4,West Ham,63,FWD,9
508,3.43,Che Adams,4,Southampton,59,FWD,18
509,3.35,Roberto Firmino,4,Liverpool,94,FWD,2
510,3.31,Tammy Abraham,4,Chelsea,73,FWD,6
511,3.26,Neal Maupay,4,Brighton,65,FWD,7
512,3.23,Joelinton Cássio Apolinário de Lira,4,Newcastle,59,FWD,4
513,3.01,Jordan Ayew,4,Crystal Palace,59,FWD,5
514,2.48,Fabio Silva,4,Wolves,54,FWD,8
515,2.46,Aaron Connolly,4,Brighton,55,FWD,7
516,2.38,David McGoldrick,4,Sheffield Utd,54,FWD,1
517,2.24,Edward Nketiah,4,Arsenal,58,FWD,15
518,2.24,Rodrigo Moreno,4,Leeds,58,FWD,12
519,2.19,Michael Obafemi,4,Southampton,49,FWD,18
520,2.16,Bobby Decordova-Reid,4,Fulham,55,FWD,20
521,2.15,Callum Robinson,4,West Brom,55,FWD,16
522,2.02,Kelechi Iheanacho,4,Leicester,58,FWD,19
523,2.02,Moise Kean,4,Everton,59,FWD,3
524,1.97,Shane Long,4,Southampton,54,FWD,18
525,1.93,Cenk Tosun,4,Everton,60,FWD,3
526,1.92,Andy Carroll,4,Newcastle,55,FWD,4
527,1.75,Olivier Giroud,4,Chelsea,68,FWD,6
528,1.71,Léo Bonatini,4,Wolves,49,FWD,8
529,1.71,Yoshinori Muto,4,Newcastle,49,FWD,4
530,1.71,Leonardo Campana,4,Wolves,50,FWD,8
531,1.7,Dwight Gayle,4,Newcastle,59,FWD,4
532,1.36,Oliver McBurnie,4,Sheffield Utd,58,FWD,1
533,1.29,Michy Batshuayi,4,Crystal Palace,58,FWD,5
534,1.29,Billy Sharp,4,Sheffield Utd,58,FWD,1
535,1.24,Sébastien Haller,4,West Ham,63,FWD,9
536,1.2,Hal Robson-Kanu,4,West Brom,54,FWD,16
537,1.13,Rhian Brewster,4,Sheffield Utd,45,FWD,1
538,1.11,Christian Benteke,4,Crystal Palace,55,FWD,5
539,1.06,Connor Wickham,4,Crystal Palace,45,FWD,5
540,1.05,Divock Origi,4,Liverpool,54,FWD,2
541,0.91,Lys Mousset,4,Sheffield Utd,59,FWD,1
542,0.86,Charlie Austin,4,West Brom,53,FWD,16
543,0.85,Jordan Hugill,4,West Ham,55,FWD,9
544,0.85,Albian Ajeti,4,West Ham,55,FWD,9
545,0.85,Kenneth Zohore,4,West Brom,49,FWD,16
546,0.85,Florin Andone,4,Brighton,49,FWD,7
547,0.85,Glenn Murray,4,Brighton,49,FWD,7
548,,Anthony Martial,4,Man Utd,89,FWD,17
549,,Ashley Barnes,4,Burnley,60,FWD,14
550,,Chris Wood,4,Burnley,65,FWD,14
551,,Gabriel Fernando de Jesus,4,Man City,94,FWD,10
552,,Indiana Vassilev,4,Aston Villa,45,FWD,11
553,,Jay Rodriguez,4,Burnley,59,FWD,14
554,,Keinan Davis,4,Aston Villa,45,FWD,11
555,,Liam Delap,4,Man City,45,FWD,10
556,,Matej Vydra,4,Burnley,50,FWD,14
557,,Mbwana Samatta,4,Aston Villa,59,FWD,11
558,,Odion Ighalo,4,Man Utd,63,FWD,17
559,,Ollie Watkins,4,Aston Villa,60,FWD,11
560,,Sergio Agüero,4,Man City,104,FWD,10
561,,Wesley Moraes,4,Aston Villa,60,FWD,11
562,3.85,Alex McCarthy,5,Southampton,45,GK,5
563,3.63,Vicente Guaita,5,Crystal Palace,50,GK,3
564,3.51,Kasper Schmeichel,5,Leicester,55,GK,2
565,3.38,Jordan Pickford,5,Everton,50,GK,11
566,3.38,Hugo Lloris,5,Spurs,55,GK,19
567,3.38,Rui Pedro dos Santos Patrício,5,Wolves,55,GK,10
568,3.29,Ederson Santana de Moraes,5,Man City,60,GK,1
569,3.25,Sam Johnstone,5,West Brom,45,GK,4
570,3.24,Aaron Ramsdale,5,Sheffield Utd,50,GK,8
571,3.14,Nick Pope,5,Burnley,55,GK,18
572,3.1,Karl Darlow,5,Newcastle,50,GK,13
573,3.07,Bernd Leno,5,Arsenal,50,GK,12
574,2.97,David de Gea,5,Man Utd,55,GK,14
575,2.9,Alphonse Areola,5,Fulham,45,GK,15
576,2.84,Illan Meslier,5,Leeds,45,GK,20
577,2.76,Lukasz Fabianski,5,West Ham,50,GK,17
578,2.63,Emiliano Martínez,5,Aston Villa,47,GK,9
579,2.56,Adrián San Miguel del Castillo,5,Liverpool,45,GK,7
580,2.45,Mathew Ryan,5,Brighton,45,GK,6
581,1.51,Wayne Hennessey,5,Crystal Palace,44,GK,3
582,1.51,Joe Hart,5,Spurs,44,GK,19
583,1.5,Paulo Gazzaniga,5,Spurs,44,GK,19
584,1.4,Danny Ward,5,Leicester,45,GK,2
585,1.38,David Button,5,West Brom,40,GK,4
586,1.29,Mark Gillespie,5,Newcastle,45,GK,13
587,1.29,Martin Dubravka,5,Newcastle,49,GK,13
588,1.29,Zack Steffen,5,Man City,45,GK,1
589,1.29,Wes Foderingham,5,Sheffield Utd,44,GK,8
590,1.29,João Virgínia,5,Everton,44,GK,11
591,1.29,Simon Moore,5,Sheffield Utd,44,GK,8
592,1.29,Jonas Lössl,5,Everton,44,GK,11
593,1.29,Claudio Bravo,5,Man City,45,GK,1
594,1.22,Francisco Casilla Cortés,5,Leeds,44,GK,20
595,1.22,Willy Caballero,5,Chelsea,49,GK,16
596,1.21,Kamil Miazek,5,Leeds,40,GK,20
597,1.21,Ørjan Nyland,5,Aston Villa,40,GK,9
598,1.17,Matija Sarkic,5,Wolves,45,GK,10
599,1.17,Elia Caprile,5,Leeds,40,GK,20
600,1.17,John Ruddy,5,Wolves,45,GK,10
601,1.11,Dean Henderson,5,Man Utd,54,GK,14
602,1.09,Alisson Ramses Becker,5,Liverpool,60,GK,7
603,1.07,Fabricio Agosto Ramírez,5,Fulham,40,GK,15
604,1.05,Bailey Peacock-Farrell,5,Burnley,40,GK,18
605,1.04,Marek Rodák,5,Fulham,44,GK,15
606,1.04,Angus Gunn,5,Southampton,44,GK,5
607,1.04,Sergio Romero,5,Man Utd,49,GK,14
608,1.04,Marcus Bettinelli,5,Fulham,44,GK,15
609,1.04,Matt Macey,5,Arsenal,40,GK,12
610,1.04,Fraser Forster,5,Southampton,40,GK,5
611,0.98,Kepa Arrizabalaga,5,Chelsea,48,GK,16
612,0.98,Jed Steer,5,Aston Villa,40,GK,9
613,0.91,David Martin,5,West Ham,40,GK,17
614,0.9,Tom Heaton,5,Aston Villa,45,GK,9
615,0.81,Christian Walton,5,Brighton,40,GK,6
616,0.81,Jason Steele,5,Brighton,40,GK,6
617,0.8,Darren Randolph,5,West Ham,45,GK,17
618,0.8,Roberto Jimenez Gago,5,West Ham,45,GK,17
619,,Caoimhin Kelleher,5,Liverpool,45,GK,7
620,,Edouard Mendy,5,Chelsea,50,GK,16
621,,Michael Verrips,5,Sheffield Utd,40,GK,8
622,,Robin Olsen,5,Everton,45,GK,11
623,,Rúnar Alex Rúnarsson,5,Arsenal,45,GK,12
624,,Stephen Henderson,5,Crystal Palace,40,GK,3
625,,Will Norris,5,Burnley,40,GK,18
626,4.7,Çaglar Söyüncü,5,Leicester,55,DEF,2
627,4.68,Davinson Sánchez,5,Spurs,54,DEF,19
628,4.53,Timothy Castagne,5,Leicester,58,DEF,2
629,4.11,Serge Aurier,5,Spurs,52,DEF,19
630,4.1,Lucas Digne,5,Everton,61,DEF,11
631,4.09,Trent Alexander-Arnold,5,Liverpool,75,DEF,7
632,3.9,Eric Dier,5,Spurs,50,DEF,19
633,3.79,Yerry Mina,5,Everton,55,DEF,11
634,3.73,César Azpilicueta,5,Chelsea,59,DEF,16
635,3.7,Joel Ward,5,Crystal Palace,45,DEF,3
636,3.64,Tyrick Mitchell,5,Crystal Palace,41,DEF,3
637,3.61,Stuart Dallas,5,Leeds,45,DEF,20
638,3.59,Kurt Zouma,5,Chelsea,50,DEF,16
639,3.57,Kyle Walker,5,Man City,60,DEF,1
640,3.54,Benjamin Chilwell,5,Chelsea,56,DEF,16
641,3.43,Mamadou Sakho,5,Crystal Palace,45,DEF,3
642,3.37,Kyle Walker-Peters,5,Southampton,45,DEF,5
643,3.37,Enda Stevens,5,Sheffield Utd,54,DEF,8
644,3.35,George Baldock,5,Sheffield Utd,54,DEF,8
645,3.34,Conor Coady,5,Wolves,50,DEF,10
646,3.33,Dara O'Shea,5,West Brom,44,DEF,4
647,3.29,Matt Doherty,5,Spurs,59,DEF,19
648,3.28,John Egan,5,Sheffield Utd,49,DEF,8
649,3.19,Thiago Thiago,5,Chelsea,55,DEF,16
650,3.18,Luke Ayling,5,Leeds,45,DEF,20
651,3.18,Federico Fernández,5,Newcastle,50,DEF,13
652,3.11,Jonny Evans,5,Leicester,55,DEF,2
653,3.09,Chris Basham,5,Sheffield Utd,49,DEF,8
654,3.06,Jack Robinson,5,Sheffield Utd,44,DEF,8
655,3.04,Willy Boly,5,Wolves,55,DEF,10
656,3.04,Oluwasemilogo Adesewo Ibidapo Ajayi,5,West Brom,49,DEF,4
657,3.03,Virgil van Dijk,5,Liverpool,65,DEF,7
658,2.89,Liam Cooper,5,Leeds,44,DEF,20
659,2.89,Romain Saïss,5,Wolves,51,DEF,10
660,2.87,Daniel Amartey,5,Leicester,40,DEF,2
661,2.87,Robin Koch,5,Leeds,45,DEF,20
662,2.83,Charlie Taylor,5,Burnley,45,DEF,18
663,2.82,James Justin,5,Leicester,47,DEF,2
664,2.78,Conor Townsend,5,West Brom,45,DEF,4
665,2.76,Aymeric Laporte,5,Man City,60,DEF,1
666,2.6,Kyle Bartley,5,West Brom,45,DEF,4
667,2.58,Michael Keane,5,Everton,50,DEF,11
668,2.54,Emil Krafth,5,Newcastle,44,DEF,13
669,2.51,Joe Bryan,5,Fulham,49,DEF,15
670,2.48,Max Kilman,5,Wolves,40,DEF,10
671,2.46,Héctor Bellerín,5,Arsenal,50,DEF,12
672,2.42,Jamal Lewis,5,Newcastle,44,DEF,13
673,2.41,Benjamin Mendy,5,Man City,60,DEF,1
674,2.39,Kevin Long,5,Burnley,45,DEF,18
675,2.38,Seamus Coleman,5,Everton,50,DEF,11
676,2.25,Jan Bednarek,5,Southampton,45,DEF,5
677,2.23,Kieran Tierney,5,Arsenal,54,DEF,12
678,2.22,Harry Maguire,5,Man Utd,54,DEF,14
679,2.15,Ryan Bertrand,5,Southampton,50,DEF,5
680,2.13,Phil Bardsley,5,Burnley,45,DEF,18
681,2.06,James Tarkowski,5,Burnley,54,DEF,18
682,2.03,Ben Davies,5,Spurs,49,DEF,19
683,2.03,Luke Shaw,5,Man Utd,49,DEF,14
684,2.01,Aaron Wan-Bissaka,5,Man Utd,54,DEF,14
685,2.01,Andrew Robertson,5,Liverpool,70,DEF,7
686,2.0,David Luiz Moreira Marinho,5,Arsenal,55,DEF,12
687,2.0,Javier Manquillo,5,Newcastle,45,DEF,13
688,1.94,Antonee Robinson,5,Fulham,44,DEF,15
689,1.88,Maxime Le Marchand,5,Fulham,44,DEF,15
690,1.86,Tim Ream,5,Fulham,44,DEF,15
691,1.85,Fernando Luiz Rosa,5,Man City,55,DEF,1
692,1.84,Fabian Schär,5,Newcastle,49,DEF,13
693,1.84,Jannik Vestergaard,5,Southampton,45,DEF,5
694,1.77,Nathan Aké,5,Man City,55,DEF,1
695,1.72,Tyrone Mings,5,Aston Villa,51,DEF,9
696,1.66,Andreas Christensen,5,Chelsea,49,DEF,16
697,1.65,Lewis Dunk,5,Brighton,49,DEF,6
698,1.65,Aaron Cresswell,5,West Ham,49,DEF,17
699,1.64,Matthew Cash,5,Aston Villa,50,DEF,9
700,1.62,Ethan Ampadu,5,Sheffield Utd,45,DEF,8
701,1.6,Darnell Furlong,5,West Brom,45,DEF,4
702,1.59,Adam Webster,5,Brighton,45,DEF,6
703,1.58,Toby Alderweireld,5,Spurs,54,DEF,19
704,1.56,Jamaal Lascelles,5,Newcastle,45,DEF,13
705,1.56,Marcos Alonso,5,Chelsea,59,DEF,16
706,1.55,Nathan Ferguson,5,Crystal Palace,40,DEF,3
707,1.54,Martin Kelly,5,Crystal Palace,43,DEF,3
708,1.53,Eric Garcia,5,Man City,48,DEF,1
709,1.51,Juan Foyth,5,Spurs,44,DEF,19
710,1.51,Scott Dann,5,Crystal Palace,45,DEF,3
711,1.51,Ryan Sessegnon,5,Spurs,48,DEF,19
712,1.51,Danny Rose,5,Spurs,48,DEF,19
713,1.51,Cameron Carter-Vickers,5,Spurs,40,DEF,19
714,1.5,Gary Cahill,5,Crystal Palace,45,DEF,3
715,1.5,Japhet Tanganga,5,Spurs,49,DEF,19
716,1.5,Patrick van Aanholt,5,Crystal Palace,54,DEF,3
717,1.5,Ryan Inniss,5,Crystal Palace,40,DEF,3
718,1.5,Rúben Gonçalo Silva Nascimento Vinagre,5,Wolves,43,DEF,10
719,1.5,Sam Woods,5,Crystal Palace,40,DEF,3
720,1.5,James Tomkins,5,Crystal Palace,45,DEF,3
721,1.47,Gabriel Magalhães,5,Arsenal,51,DEF,12
722,1.47,Ezgjan Alioski,5,Leeds,44,DEF,20
723,1.45,Matt Targett,5,Aston Villa,45,DEF,9
724,1.4,Joseph Gomez,5,Liverpool,54,DEF,7
725,1.37,Christian Fuchs,5,Leicester,45,DEF,2
726,1.36,Ezri Konsa Ngoyo,5,Aston Villa,46,DEF,9
727,1.34,Luke Thomas,5,Leicester,43,DEF,2
728,1.34,Angelo Ogbonna,5,West Ham,49,DEF,17
729,1.33,Filip Benkovic,5,Leicester,44,DEF,2
730,1.33,Ricardo Domingos Barbosa Pereira,5,Leicester,59,DEF,2
731,1.32,Eric Bailly,5,Man Utd,50,DEF,14
732,1.32,Arthur Masuaku,5,West Ham,45,DEF,17
733,1.32,Wes Morgan,5,Leicester,44,DEF,2
734,1.31,Ben White,5,Brighton,45,DEF,6
735,1.3,Victor Lindelöf,5,Man Utd,49,DEF,14
736,1.29,Barry Douglas,5,Leeds,39,DEF,20
737,1.26,Rob Holding,5,Arsenal,45,DEF,12
738,1.26,Jarrad Branthwaite,5,Everton,39,DEF,11
739,1.25,Ainsley Maitland-Niles,5,Arsenal,49,DEF,12
740,1.23,Antonio Rüdiger,5,Chelsea,47,DEF,16
741,1.22,Tariq Lamptey,5,Brighton,47,DEF,6
742,1.21,Ahmed El-Sayed Hegazy,5,West Brom,43,DEF,4
743,1.2,João Pedro Cavaco Cancelo,5,Man City,54,DEF,1
744,1.19,Nicolás Otamendi,5,Man City,49,DEF,1
745,1.19,Oleksandr Zinchenko,5,Man City,55,DEF,1
746,1.19,DeAndre Yedlin,5,Newcastle,44,DEF,13
747,1.19,Denis Odoi,5,Fulham,45,DEF,15
748,1.18,Ciaran Clark,5,Newcastle,45,DEF,13
749,1.18,Florian Lejeune,5,Newcastle,43,DEF,13
750,1.18,Branislav Ivanovic,5,West Brom,45,DEF,4
751,1.18,Paul Dummett,5,Newcastle,44,DEF,13
752,1.18,Jonjoe Kenny,5,Everton,44,DEF,11
753,1.18,Kelland Watts,5,Newcastle,40,DEF,13
754,1.18,Kenny Tete,5,Fulham,44,DEF,15
755,1.18,Mason Holgate,5,Everton,49,DEF,11
756,1.18,Emerson Palmieri dos Santos,5,Chelsea,49,DEF,16
757,1.18,Jayden Bogle,5,Sheffield Utd,44,DEF,8
758,1.18,Cedric Kipre,5,West Brom,44,DEF,4
759,1.18,Max Lowe,5,Sheffield Utd,45,DEF,8
760,1.17,Phil Jagielka,5,Sheffield Utd,40,DEF,8
761,1.15,Leif Davis,5,Leeds,40,DEF,20
762,1.13,Kieran Gibbs,5,West Brom,44,DEF,4
763,1.08,Reece James,5,Chelsea,51,DEF,16
764,1.07,Oliver Casey,5,Leeds,40,DEF,20
765,1.07,Michael Hector,5,Fulham,44,DEF,15
766,1.07,Fabián Balbuena,5,West Ham,44,DEF,17
767,1.06,Pascal Struijk,5,Leeds,40,DEF,20
768,1.06,Oskar Buur,5,Wolves,40,DEF,10
769,1.06,Ryan Bennett,5,Wolves,44,DEF,10
770,1.06,Jonathan Castro Otto,5,Wolves,54,DEF,10
771,1.05,William Saliba,5,Arsenal,42,DEF,12
772,1.05,Jack O'Connell,5,Sheffield Utd,49,DEF,8
773,1.05,Joël Veltman,5,Brighton,43,DEF,6
774,1.04,Fernando Marçal,5,Wolves,49,DEF,10
775,1.04,John Stones,5,Man City,50,DEF,1
776,1.04,Fikayo Tomori,5,Chelsea,48,DEF,16
777,1.02,Neco Williams,5,Liverpool,40,DEF,7
778,1.01,Ahmed El Mohamady,5,Aston Villa,44,DEF,9
779,1.01,Brandon Williams,5,Man Utd,44,DEF,14
780,1.0,Ben Mee,5,Burnley,49,DEF,18
781,1.0,Jimmy Dunne,5,Burnley,40,DEF,18
782,1.0,Cédric Soares,5,Arsenal,48,DEF,12
783,1.0,Jake Vokins,5,Southampton,40,DEF,5
784,1.0,Joel Matip,5,Liverpool,54,DEF,7
785,0.99,José Diogo Dalot Teixeira,5,Man Utd,49,DEF,14
786,0.99,Marcos Rojo,5,Man Utd,49,DEF,14
787,0.99,Calum Chambers,5,Arsenal,45,DEF,12
788,0.99,Teden Mengi,5,Man Utd,40,DEF,14
789,0.99,Bernardo Fernandes da Silva Junior,5,Brighton,40,DEF,6
790,0.99,Axel Tuanzebe,5,Man Utd,45,DEF,14
791,0.99,Sokratis Papastathopoulos,5,Arsenal,49,DEF,12
792,0.99,Shkodran Mustafi,5,Arsenal,50,DEF,12
793,0.99,Bobby Thomas,5,Burnley,40,DEF,18
794,0.99,Ben Gibson,5,Burnley,40,DEF,18
795,0.99,Phil Jones,5,Man Utd,49,DEF,14
796,0.99,Alfie Mawson,5,Fulham,44,DEF,15
797,0.99,Konstantinos Tsimikas,5,Liverpool,49,DEF,7
798,0.99,Matthew Lowton,5,Burnley,44,DEF,18
799,0.99,Cyrus Christie,5,Fulham,44,DEF,15
800,0.99,Mohammed Salisu,5,Southampton,44,DEF,5
801,0.99,Zeze Steven Sessegnon,5,Fulham,44,DEF,15
802,0.99,Anthony Driscoll-Glennon,5,Burnley,40,DEF,18
803,0.99,Chris Smalling,5,Man Utd,49,DEF,14
804,0.99,Yan Valery,5,Southampton,48,DEF,5
805,0.99,Pablo Marí,5,Arsenal,45,DEF,12
806,0.96,Kortney Hause,5,Aston Villa,44,DEF,9
807,0.96,Neil Taylor,5,Aston Villa,44,DEF,9
808,0.96,Frédéric Guilbert,5,Aston Villa,44,DEF,9
809,0.96,James Bree,5,Aston Villa,45,DEF,9
810,0.96,Ben Johnson,5,West Ham,40,DEF,17
811,0.96,Bjorn Engels,5,Aston Villa,44,DEF,9
812,0.9,Timothy Fosu-Mensah,5,Man Utd,45,DEF,14
813,0.9,Shane Duffy,5,Brighton,44,DEF,6
814,0.9,Martín Montoya,5,Brighton,45,DEF,6
815,0.9,Matthew Clarke,5,Brighton,44,DEF,6
816,0.87,Dan Burn,5,Brighton,44,DEF,6
817,0.86,Sead Kolasinac,5,Arsenal,49,DEF,12
818,0.85,Jack Stephens,5,Southampton,49,DEF,5
819,0.85,Erik Pieters,5,Burnley,44,DEF,18
820,0.8,Ryan Fredericks,5,West Ham,44,DEF,17
821,0.77,Issa Diop,5,West Ham,45,DEF,17
822,,Alex Nicolao Telles,5,Man Utd,55,DEF,14
823,,Ben Godfrey,5,Everton,50,DEF,11
824,,Craig Dawson,5,West Ham,45,DEF,17
825,,Diego Llorente,5,Leeds,45,DEF,20
826,,Joachim Andersen,5,Fulham,45,DEF,15
827,,Ki-Jana Hoever,5,Wolves,45,DEF,10
828,,Nathaniel Clyne,5,Crystal Palace,45,DEF,3
829,,Niels Nkounkou,5,Everton,40,DEF,11
830,,Nélson Cabral Semedo,5,Wolves,55,DEF,10
831,,Ola Aina,5,Fulham,45,DEF,15
832,,Rayan Ait Nouri,5,Wolves,50,DEF,10
833,,Rúben Santos Gato Alves Dias,5,Man City,55,DEF,1
834,,Sergio Reguilón,5,Spurs,55,DEF,19
835,,Tosin Adarabioyo,5,Fulham,45,DEF,15
836,,Vladimir Coufal,5,West Ham,45,DEF,17
837,,Wesley Fofana,5,Leicester,50,DEF,2
838,7.93,Kevin De Bruyne,5,Man City,116,MID,1
839,7.88,Heung-Min Son,5,Spurs,92,MID,19
840,6.57,Wilfried Zaha,5,Crystal Palace,72,MID,3
841,6.47,Jack Grealish,5,Aston Villa,71,MID,9
842,6.29,Raheem Sterling,5,Man City,115,MID,1
843,5.95,James Rodríguez,5,Everton,79,MID,11
844,5.85,Lucas Rodrigues Moura da Silva,5,Spurs,69,MID,19
845,5.51,Mohamed Salah,5,Liverpool,123,MID,7
846,4.96,Pierre-Emerick Aubameyang,5,Arsenal,118,MID,12
847,4.95,Harvey Barnes,5,Leicester,71,MID,2
848,4.88,Riyad Mahrez,5,Man City,85,MID,1
849,4.63,John Lundstram,5,Sheffield Utd,53,MID,8
850,4.61,Kai Havertz,5,Chelsea,84,MID,16
851,4.48,Jarrod Bowen,5,West Ham,63,MID,17
852,4.46,Sadio Mané,5,Liverpool,119,MID,7
853,4.21,Cheikhou Kouyaté,5,Crystal Palace,50,MID,3
854,4.2,Phil Foden,5,Man City,66,MID,1
855,4.18,Callum Hudson-Odoi,5,Chelsea,58,MID,16
856,4.17,Diogo Jota,5,Liverpool,63,MID,7
857,4.08,Tanguy Ndombele,5,Spurs,59,MID,19
858,4.02,Erik Lamela,5,Spurs,59,MID,19
859,4.0,Mason Mount,5,Chelsea,69,MID,16
860,3.94,Andros Townsend,5,Crystal Palace,61,MID,3
861,3.91,Bruno Miguel Borges Fernandes,5,Man Utd,105,MID,14
862,3.91,Hélder Wander Sousa de Azevedo e Costa,5,Leeds,57,MID,20
863,3.87,Ferran Torres,5,Man City,69,MID,1
864,3.76,John McGinn,5,Aston Villa,55,MID,9
865,3.63,Leandro Trossard,5,Brighton,60,MID,6
866,3.54,Allan Saint-Maximin,5,Newcastle,53,MID,13
867,3.54,Pedro Lomba Neto,5,Wolves,55,MID,10
868,3.51,Giovani Lo Celso,5,Spurs,69,MID,19
869,3.5,Jorge Luiz Frello Filho,5,Chelsea,52,MID,16
870,3.47,Bukayo Saka,5,Arsenal,53,MID,12
871,3.39,Youri Tielemans,5,Leicester,64,MID,2
872,3.27,Eberechi Eze,5,Crystal Palace,59,MID,3
873,3.27,Solomon March,5,Brighton,50,MID,6
874,3.27,Oliver Burke,5,Sheffield Utd,45,MID,8
875,3.22,Pierre-Emile Højbjerg,5,Spurs,49,MID,19
876,3.2,Gylfi Sigurdsson,5,Everton,69,MID,11
877,3.2,Mateusz Klich,5,Leeds,56,MID,20
878,3.15,Leander Dendoncker,5,Wolves,49,MID,10
879,3.14,Abdoulaye Doucouré,5,Everton,54,MID,11
880,3.12,Matheus Pereira,5,West Brom,60,MID,4
881,3.01,James McArthur,5,Crystal Palace,54,MID,3
882,2.97,Marcus Rashford,5,Man Utd,95,MID,14
883,2.85,Pablo Fornals,5,West Ham,64,MID,17
884,2.79,Ross Barkley,5,Aston Villa,59,MID,9
885,2.76,Mahmoud Ahmed Ibrahim Hassan,5,Aston Villa,55,MID,9
886,2.76,Jeffrey Schlupp,5,Crystal Palace,55,MID,3
887,2.75,Nampalys Mendy,5,Leicester,45,MID,2
888,2.69,Ben Osborn,5,Sheffield Utd,49,MID,8
889,2.65,James McCarthy,5,Crystal Palace,45,MID,3
890,2.64,Kalvin Phillips,5,Leeds,50,MID,20
891,2.62,Grady Diangana,5,West Brom,55,MID,4
892,2.6,Jonjo Shelvey,5,Newcastle,54,MID,13
893,2.54,Oriol Romeu Vidal,5,Southampton,45,MID,5
894,2.51,Moussa Djenepo,5,Southampton,55,MID,5
895,2.46,Daniel Ceballos Fernández,5,Arsenal,50,MID,12
896,2.42,Rodrigo Hernandez,5,Man City,55,MID,1
897,2.42,Ayoze Pérez,5,Leicester,63,MID,2
898,2.42,Isaac Hayden,5,Newcastle,49,MID,13
899,2.41,Ashley Westwood,5,Burnley,54,MID,18
900,2.41,Josh Brownhill,5,Burnley,50,MID,18
901,2.39,Stuart Armstrong,5,Southampton,55,MID,5
902,2.37,James Maddison,5,Leicester,70,MID,2
903,2.35,Sander Berge,5,Sheffield Utd,50,MID,8
904,2.35,Moussa Sissoko,5,Spurs,48,MID,19
905,2.33,Daniel Castelo Podence,5,Wolves,56,MID,10
906,2.31,Dwight McNeil,5,Burnley,59,MID,18
907,2.31,André-Frank Zambo Anguissa,5,Fulham,45,MID,15
908,2.3,Ivan Ricardo Neves Abreu Cavaleiro,5,Fulham,54,MID,15
909,2.29,Alex Iwobi,5,Everton,59,MID,11
910,2.28,Rúben Diogo da Silva Neves,5,Wolves,54,MID,10
911,2.28,Naby Keita,5,Liverpool,54,MID,7
912,2.24,Willian Borges Da Silva,5,Arsenal,79,MID,12
913,2.23,Mason Greenwood,5,Man Utd,73,MID,14
914,2.2,Dale Stephens,5,Burnley,44,MID,18
915,2.18,James Ward-Prowse,5,Southampton,58,MID,5
916,2.16,Tomas Soucek,5,West Ham,49,MID,17
917,2.16,Jeff Hendrick,5,Newcastle,51,MID,13
918,2.15,Adama Traoré,5,Wolves,64,MID,10
919,2.15,Tom Cairney,5,Fulham,53,MID,15
920,2.14,Jake Livermore,5,West Brom,49,MID,4
921,2.13,Steven Bergwijn,5,Spurs,72,MID,19
